player_id;surname;name;position;club;price;last_season_in_premier_league
1215;Danny;Welbeck;Forward;Brighton and Hove Albion;6.5;Yes
1216;Evan;Ferguson;Forward;Brighton and Hove Albion;5.5;Yes
1217;Stefanos;Tzimas;Forward;Brighton and Hove Albion;5.5;Yes
1218;Charalampos;Kostoulas;Forward;Brighton and Hove Albion;5.0;Yes
1219;Robert;Sanchez;Goalkeeper;Chelsea;5.0;Yes
1220;Filip;Jorgensen;Goalkeeper;Chelsea;4.5;Yes
1221;Mike;Penders;Goalkeeper;Chelsea;4.0;Yes
1222;Gabriel;Slonina;Goalkeeper;Chelsea;4.0;Yes
1223;Marc;Cucurella;Defender;Chelsea;6.0;Yes
1224;Reece;James;Defender;Chelsea;5.5;Yes
1225;Trevoh;Chalobah;Defender;Chelsea;5.0;Yes
1226;Levi;Colwill;Defender;Chelsea;5.0;Yes
1227;Malo;Gusto;Defender;Chelsea;5.0;Yes
1228;Benoit;Badiashile;Defender;Chelsea;4.5;Yes
1229;Wesley;Fofana;Defender;Chelsea;4.5;Yes
1230;Mamadou;Sarr;Defender;Chelsea;4.5;No
1231;Tosin;Adarabioyo;Defender;Chelsea;4.5;Yes
1232;Joshua;Acheampong;Defender;Chelsea;4.0;Yes
1233;Aarón;Anselmino;Defender;Chelsea;4.0;Yes
1234;Cole;Palmer;Midfielder;Chelsea;10.5;Yes
1235;Pedro;Neto;Midfielder;Chelsea;7.0;Yes
1236;Enzo;Fernandez;Midfielder;Chelsea;6.5;Yes
1237;Almeida;Estevao;Midfielder;Chelsea;6.5;No
1238;Jamie;Gittens;Midfielder;Chelsea;6.5;No
1239;Christopher;Nkunku;Midfielder;Chelsea;6.0;Yes
1240;Moises;Caicedo;Midfielder;Chelsea;5.5;Yes
1241;Kiernan;Dewsbury-Hall;Midfielder;Chelsea;5.0;Yes
1242;Tyrique;George;Midfielder;Chelsea;5.0;Yes
1243;Romeo;Lavia;Midfielder;Chelsea;5.0;Yes
1244;Mykhailo;Mudryk;Midfielder;Chelsea;5.0;Yes
1245;Andrey;Andrey Santos;Midfielder;Chelsea;4.5;Yes
1246;Dario;Essugo;Midfielder;Chelsea;4.5;Yes
1247;Kendry;Paez;Midfielder;Chelsea;4.5;Yes
1248;Joao;Pedro;Forward;Chelsea;7.5;Yes
1249;Liam;Delap;Forward;Chelsea;6.5;Yes
1250;Nicolas;Jackson;Forward;Chelsea;6.5;Yes
1251;Marc;Guiu;Forward;Chelsea;4.5;Yes
1252;Dean;Henderson;Goalkeeper;Crystal Palace;5.0;Yes
1253;Walter;Benitez;Goalkeeper;Crystal Palace;4.0;Yes
1254;Remi;Matthews;Goalkeeper;Crystal Palace;4.0;Yes
1255;Daniel;Munoz;Defender;Crystal Palace;5.5;Yes
1256;Maxence;Lacroix;Defender;Crystal Palace;5.0;Yes
1257;Tyrick;Mitchell;Defender;Crystal Palace;5.0;Yes
1258;Borna;Sosa;Defender;Crystal Palace;5.0;No
1259;Marc;Guehi;Defender;Crystal Palace;4.5;Yes
1260;Chris;Richards;Defender;Crystal Palace;4.5;Yes
1261;Chadi;Chadi Riad;Defender;Crystal Palace;4.0;Yes
1262;Nathaniel;Clyne;Defender;Crystal Palace;4.0;Yes
